name/id,position,salary
QB1 (34323),QB,4800
QB2 (34323),QB,6200
QB3 (34323),QB,7000
QB4 (34323),QB,7500
QB5 (34323),QB,9000
RB1 (34323),RB,5000
RB2 (34323),RB,5300
RB3 (34323),RB,5600
RB4 (34323),RB,5800
RB5 (34323),RB,6000
RB6 (34323),RB,6200
RB7 (34323),RB,6400
RB8 (34323),RB,6600
RB9 (34323),RB,6800
RB10 (34323),RB,7000
RB11 (34323),RB,7200
RB12 (34323),RB,7400
RB13 (34323),RB,8000
RB14 (34323),RB,8400
RB15 (34323),RB,10100
RB25 (34323),RB,10200
RB26 (34323),RB,10400
WR1 (34323),WR,4100
WR2 (34323),WR,4300
WR3 (34323),WR,4500
WR4 (34323),WR,5100
WR5 (34323),WR,5100
WR6 (34323),WR,5100
WR12 (34323),WR,6200
WR15 (34323),WR,7000
WR16 (34323),WR,7200
WR17 (34323),WR,7800
WR18 (34323),WR,8400
WR19 (34323),WR,9000
WR20 (34323),WR,9800
TE1 (34323),TE,3800
TE2 (34323),TE,4000
TE3 (34323),TE,4200
TE6 (34323),TE,5100
TE7 (34323),TE,5200
TE16 (34323),TE,6100
TE17 (34323),TE,7200
DST1 (34323),DST,2800
DST2 (34323),DST,3000
DST3 (34323),DST,3100
DST4 (34323),DST,3400
DST5 (34323),DST,4000
